serial,factor,item_id,item_text,feedback_improve,feedback_strength
11,5,IM11,今所属しているクラスや部署において、困難な状況が生じた時には、気兼ねなく周囲の人と共有できると思う。,困難を安心して共有できることは、心理的安全性の中核です。自分だけで抱え込まずに話せる環境があることで、解決につながるサポートを受けやすくなり、ストレスも軽減されます。あなたの所属するクラスやチームはどうでしょうか？心理的安全性は、一人の力だけで築けるものではありません。信頼できる仲間とともに、心理的安全性を高めるための工夫について話し合ってみましょう。,あなたは困難を気兼ねなく周囲に共有できていると感じています。これは心理的安全性を支える重要な要素であり、心理的安全性が高いと、仲間との協力やサポートを得ながら、前向きに課題へ取り組むことができます。
12,1,IM12,ネガティブな考えが頭から離れない時には、自分の状況を客観視するようにしている。,ネガティブな考えを紙に書き出し、「なぜそう思うのか」「他の見方はできないか」も合わせて整理してみましょう。頭の中だけでなく紙に出すことで冷静に眺められるようになります。,ネガティブな考えが浮かんでも、自分の状況を客観視してパランスの良い考えができるのはあなたの強みです。
13,2,IM13,自分が感じている悲しみ・不安・怒りといった感情にその場で気づくことができる。,感情は自分にとって大切なこと（価値）に気づくサインでもあります。「今、どんな気持ち？」と振り返る癖をつけましょう。,あなたは感情に気づき、受け止めることができています。自分の感情を無視せず気づけることは、物事に柔軟に対処したり、自分が大切にしたいこと（価値）に沿った選択をする大切な基盤になっています。
14,1,IM14,会話や話し合いの中で、自分の意見が通らない時には、改善点や妥協案を前向きに考えるようにしている。,「どこまでなら譲れるか」「自分が大事にしたいポイントはどこか」を整理してみましょう。その上で、相手を尊重しながら自分の意見を率直に伝える練習をしてみると、前向きな妥協点が見つかりやすくなります。,意見が通らない場面でも、改善点や妥協案を考えられるあなたは、建設的な人間関係を築くことができます。相手もあなたと話し合うことで安心感を得られているはずです。
15,2,IM15,自分が充実感や達成感を得られることを、意識的に日常生活に取り入れるようにしている。,やらなければならないことばかりに時間を使っていると、疲弊してしまいます。あなたにとって「充実感や達成感が得られる行動」は何でしょうか？1週間の中でその行動に時間を当てることを心がけましょう。,あなたは日常の中に充実感や達成感が得られる行動を取り入れることができています。
16,3,IM16,自分の考えに誤りや改善点があると気づいたときは、修正するようにしている。,自分の考えに誤りや改善点があると気づいたときは、心配や不安などの感情が湧いてくるかもしれませんが、他の視点を得る成長のチャンスかもしれません。,あなたは自分の考えを柔軟に見直し、修正することができます。その姿勢は新しい学びや成長の土台になっており、変化に適応できる大きな強みです。
17,5,IM17,今所属しているクラスや部署において、自分の意見を率直かつ明確に伝えるようにしている。,意見を率直に伝えられる環境は、心理的安全性が保たれている証拠です。安心して発言できることで、チーム全体の学びや成果につながるアイデアが出やすくなります。あなたの所属するクラスやチームはどうでしょうか？心理的安全性は、一人の力だけで築けるものではありません。信頼できる仲間とともに、心理的安全性を高めるための工夫について話し合ってみましょう。,自分の意見を率直に伝えることができるのはあなたの強みです。また、あなたが安心して発言できることは心理的安全性が保たれている証拠であり、チームの学びや新しいアイデアの創出につながっています。
18,1,IM18,ネガティブな考えが頭から離れない時には、自分を落ち着かせる方法を実践するようにしている。,悩んだり苦しいと感じた時に、これをするとホッとできるようなリストを作ってみましょう。例えば、自分が好きなジャスミンの匂いを嗅ぐ。モフモフの動物のショート動画を見る。などお金がかからず簡単にできるものを考えて、すぐに見返せるようにメモしておきましょう。,ネガティブな考えが頭から離れない時に、自分を落ち着ける方法を知っていて、しかもそれを実践できているのは大切な強みです。あなたの心の回復を支えることに役立っています。
19,2,IM19,プライベートの時間では、自分の価値観を大切にしながら行動している。,余暇や休日が「なんとなく過ごす時間」になっていませんか。自分が大切にしていること（価値）（例：家族との時間、成長、自然とのつながり）に沿った過ごし方を考えてみてください。小さな時間でも価値に沿った行動を選ぶと、生活全体の充実感が高まります。,あなたは余暇や休日も、自分が大切にしたいこと（価値）に沿って過ごせています。その選択が、心の回復や満足感を高め、生活全体のバランスを整えています。
20,4,IM20,日常生活で普段やらないことをやってみるのは、ワクワクする。,毎日の行動を少し変えるだけでも、気分の切り替えにつながります。ほんの小さな変化で十分です。,あなたは日常の中に小さな新しい挑戦を取り入れることができています。その柔軟さは、気分をリフレッシュさせ、生活をより豊かにすることができる強みです。
21,1,IM21,解決すべき問題を抱えている時には、新しい技術や知識を学び、それを活用するようにしている。,新しいことを学んだら、そのままにせずできることから活用してみましょう。「スモールステップで少しずつやる」がポイントです,新しい知識や技術を取り入れて活用できるのは、成長を続けられる証拠です。その姿勢が周囲にも良い影響を与えていることでしょう。
22,2,IM22,日常生活において、自分が大切にしている価値観を念頭に置いて行動するようにしている。,日々の行動が「大切にしたいこと（価値）」よりも「その場の気分」や「周囲の期待」に左右されていませんか。大切にしたいことを紙に書いて、見えるところに貼っておきましょう。行動を選ぶときに「これは自分の価値に沿っているか？」と確認する習慣が役立ちます。,あなたは日々の行動を自分が大切にしたいこと（価値）に沿って選ぶことができています。その一貫性が、自分への信頼感を強め、長期的な充実につながっています。
23,3,IM23,会話や話し合いの中で、他者の意見に耳を傾け、相手を尊重することを心がけている。,多様性に富んだチームからは新しいアイデアやイノベーションが生まれやすいという研究結果があります。自分とは異なる意見に触れると不安を感じることも自然なことです。その不安を受け入れながら耳を傾けることで、新しい解決策に出会える可能性があります。,あなたは他者の意見に耳を傾け、尊重することができています。その態度が多様な意見を活かし、チームに新しいアイデアを生み出す基盤になっています。
24,1,IM24,自分の感情に気づいた時に、「今、〇〇のことで△△な感情になっているな」と受け入れるようにしている。,自分の感情に名前をつけて、なぜその感情になっているかが分かると整理できます。悲しみは喪失、不安は危険、怒りはルール違反のサインです。自分の感情に寄り添いながら、その理由を振り返る時間を持ってみましょう。,あなたは自分の感情に気づき、その感情を受け入れることができます。感情を整理することで、ストレスに押しつぶされず、穏やかな気持ちで前に進めるようになります。
25,2,IM25,自分がワクワクする活動には、積極的に時間を割くようにしている。,忙しさの中で「楽しいこと」「ワクワクすること」を後回しにしていませんか？ワクワクはあなたの大切にしたいこと（価値）につながる大事な感覚です。まずは小さなことでも予定に組み込み、「これは自分の価値につながっている」と意識して取り組んでみましょう。,あなたは自分がワクワクする活動を大切にできています。ワクワクする感覚に基づいて行動に移せていることが、生活に活力や楽しさを生み出しています。
26,5,IM26,目標に近づくために、新しいことに積極的にチャレンジしている。,新しいことにチャレンジする時に不安や失敗への心配は自然なことですが、「失敗しても責められない」という心理的安全性があれば、新しいことへのチャレンジもしやすくなります。あなたの所属するクラスやチームはどうでしょうか？心理的安全性は、一人の力だけで築けるものではありません。信頼できる仲間とともに、心理的安全性を高めるための工夫について話し合ってみましょう。,自分の目標に向かって、新しいことに積極的に取り組むことができるのはあなたの強みです。一般的に「失敗しても大丈夫」という安心感に支えられた心理的安全性があると、新しいことにチャレンジしやすいと言われています。
27,1,IM27,自分の限界や失敗に直面した時、これまでの努力を振り返り、自分自身をねぎらうようにしている。,限界まで頑張った時、失敗に直面した時こそ、自分のことを労ってあげてください。「悲しいね。」「でもここまでよく頑張った。」あなた自身が自分の1番の理解者であることを忘れないでください。,限界や失敗に直面しても、自分を責めずに労えるのは、あなたの大きな強みです。これからも限界や失敗に直面した時こそ、「悲しいね」「でもここまでよく頑張った」と自分に優しい言葉をかけてあげてください。長期的な挑戦を支えることに役立ちます。
28,2,IM28,学ぶときや働くときに、自分の価値観を大切にしながら行動している。,学びや仕事に取り組むときに、自分が大事にしたいこと（価値）を意識すると、満足感を得られやすくなります。「誠実さ」「挑戦」「協力」「効率」など、自分が大事にしたいことを明確にしてみましょう。,あなたは学びや仕事の場面で、自分が大切にしたいこと(価値)を意識して行動できています。「どうありたいか」を大切にしている姿勢は、大きな強みです。
29,3,IM29,異なる文化や価値観を尊重することを心がけている。,自分と異なる意見に触れた時不安になることもありますが、「なぜそうなのか」を尋ねてみると、新しい理解が得られるかもしれません。,あなたは異なる文化や価値観を尊重することができています。その姿勢が、相互理解を深め、多様な人々と協力する力につながっています。
30,4,IM30,新しい経験をするとき、気分が高揚する。,新しい経験をすると、心や体の反応が変わります。例えば「ドキドキする」「頭の中が活発になる」などです。その感覚をポジティブに捉えるか、ネガティブに捉えるかはあなた次第です。,新しい経験に対して気分の高揚を感じ取ることができていることは、あなたが変化に対して前向きに捉え、楽しむことができる大きな強みです。
